repository_path,route,category,naming_role,size_bytes,sha256,legacy_workspace_path,legacy_sha256,transformation
boltzgen/resources/data/BoltzGen旧12骨架Mac增强摘要_20260820/候选指标_20260820.csv,boltzgen,curated_data,dated_artifact,55145,7ceabc812da4d60fa06502076f06503683f843c90fb7ac6683ee5139f3383da1,data/boltzgen_data/boltzgen_mac_enhanced_old12_glp1_20260820/analysis/candidates.csv,7ceabc812da4d60fa06502076f06503683f843c90fb7ac6683ee5139f3383da1,copied_preserving_bytes
boltzgen/resources/data/BoltzGen旧12骨架Mac增强摘要_20260820/深度探针摘要_20260820.json,boltzgen,curated_data,dated_artifact,3572,1e02085d4355948ef98517a79ae7e71e488f27c0cdcb5adb6be680ccf4bf48aa,data/boltzgen_data/boltzgen_mac_enhanced_old12_glp1_20260820/analysis/deep_probe_summary.json,1e02085d4355948ef98517a79ae7e71e488f27c0cdcb5adb6be680ccf4bf48aa,copied_preserving_bytes
boltzgen/resources/data/BoltzGen旧12骨架Mac增强摘要_20260820/过滤摘要_20260820.csv,boltzgen,curated_data,dated_artifact,1133,8c94af076a7f899e7b800c64c7c1e37c90a5592964efc64c6e289013a98634af,data/boltzgen_data/boltzgen_mac_enhanced_old12_glp1_20260820/analysis/filter_summary.csv,8c94af076a7f899e7b800c64c7c1e37c90a5592964efc64c6e289013a98634af,copied_preserving_bytes
boltzgen/resources/data/BoltzGen旧12骨架Mac增强摘要_20260820/运行摘要_20260820.json,boltzgen,curated_data,dated_artifact,2425,fd9c26b51135df710a307cc1c07ba9547167802aa450e2f8b69bdbaa9e27330c,data/boltzgen_data/boltzgen_mac_enhanced_old12_glp1_20260820/analysis/run_summary.json,fd9c26b51135df710a307cc1c07ba9547167802aa450e2f8b69bdbaa9e27330c,copied_preserving_bytes
boltzgen/resources/data/BoltzGen旧12骨架第一轮摘要_20260819/一致性验证_20260819.json,boltzgen,curated_data,dated_artifact,1951,9f07ebc8a42b2a0269de9f179b46b73e722bc6887651170a66d8bed415d32173,data/boltzgen_data/boltzgen_round1_old12_glp1_20260819/analysis/validation_report.json,9f07ebc8a42b2a0269de9f179b46b73e722bc6887651170a66d8bed415d32173,copied_preserving_bytes
boltzgen/resources/data/BoltzGen旧12骨架第一轮摘要_20260819/候选指标_20260819.csv,boltzgen,curated_data,dated_artifact,27112,48fd20fbd6d7aaf8b25f12b4ba913e1402c29b5fbbe114d15e6a32d78f3c1152,data/boltzgen_data/boltzgen_round1_old12_glp1_20260819/analysis/candidate_metrics.csv,48fd20fbd6d7aaf8b25f12b4ba913e1402c29b5fbbe114d15e6a32d78f3c1152,copied_preserving_bytes
boltzgen/resources/data/BoltzGen旧12骨架第一轮摘要_20260819/过滤摘要_20260819.csv,boltzgen,curated_data,dated_artifact,1111,426312fcb85299b49655512a5b174d9f820314590bfb3b10aab4ea76fdcf9174,data/boltzgen_data/boltzgen_round1_old12_glp1_20260819/analysis/filter_summary.csv,426312fcb85299b49655512a5b174d9f820314590bfb3b10aab4ea76fdcf9174,copied_preserving_bytes
boltzgen/resources/data/GLP1_VHH推理输入_20260818/GLP1_6X18几何清理说明_20260818.json,boltzgen,curated_data,dated_artifact,2527,59a21a69fd98c43881e8308cb1fdd6870da847cbbe8303ced3545936858bc6a6,data/boltzgen_data/mvp_assets_v0.3.2/curated_project_inputs/glp1_complex_peptides/6X18_glp1_7-36NH2_labelE_authP_curation.json,59a21a69fd98c43881e8308cb1fdd6870da847cbbe8303ced3545936858bc6a6,copied_preserving_bytes
boltzgen/resources/data/GLP1_VHH推理输入_20260818/GLP1_6X18残基映射_20260818.tsv,boltzgen,curated_data,dated_artifact,1164,c8d0b1955dfce6632969356ff9309abd688c68f10c2307c449aecd6b7709c3c3,data/boltzgen_data/mvp_assets_v0.3.2/curated_project_inputs/glp1_complex_peptides/6X18_glp1_7-36NH2_labelE_authP_residue_mapping.tsv,3caf23ae5779da82be80b8e78e475c5ab4ea97dad20b9bd0b07a9f6850b6e57e,copied_renamed_and_sanitized
boltzgen/resources/data/GLP1_VHH推理输入_20260818/GLP1化学状态注册表_20260818.json,boltzgen,curated_data,dated_artifact,6427,caee7e0c8c15e72b53bf8481f81eefaafd0430433f7f3136dc35332d96345231,data/boltzgen_data/mvp_assets_v0.3.2/curated_project_inputs/sequence_chemistry/GLP1_project_variants.json,caee7e0c8c15e72b53bf8481f81eefaafd0430433f7f3136dc35332d96345231,copied_preserving_bytes
boltzgen/resources/data/GLP1_VHH推理输入_20260818/推理使用组件_20260818.tsv,boltzgen,curated_data,dated_artifact,4015,4c55762c91f44d455b2070beb95ce5c7e7de89bc838ddc74512e1fe0894399f7,data/boltzgen_data/mvp_assets_v0.3.2/curated_project_inputs/used_components.tsv,e6ae19fe95841673a390b44f12fb3ac0bf6c1b8dadda723a7840021d92c0af0b,copied_renamed_and_sanitized
boltzgen/resources/data/GLP1_VHH推理输入_20260818/推理输入白名单_20260818.tsv,boltzgen,curated_data,dated_artifact,3107,c6e4aee040e06dc87acc78fcad9a3127dbdd2fc86bb9ce8b63a93ab49d26d627,data/boltzgen_data/mvp_assets_v0.3.2/curated_project_inputs/project_input_allowlist.tsv,7a7e27412362dfab032284e7877ae290f4369d80c3c3706f6f160d15bf94d223,copied_renamed_and_sanitized
boltzgen/resources/data/SAbDab2_VHH骨架登记表_20260819/BoltzGen输入验证_20260819.tsv,boltzgen,curated_data,dated_artifact,13576,61a4d88d4db16cc98f57d564ec4789162ff172ebaf88d2ba1a67cf45d9c6a1ab,data/boltzgen_data/sabdab2_vhh_scaffolds_v1/registry/boltzgen_export_validation.tsv,0669df6aaa63a863c23253a95771905ab3578989fa658aa5c2c3dff81dfaa02f,copied_renamed_and_sanitized
boltzgen/resources/data/SAbDab2_VHH骨架登记表_20260819/VHH骨架筛选规则_20260819.json,boltzgen,curated_data,dated_artifact,2140,46a6aace3d872f0b03df4a6e0a50c774d9bddc03e3e521a432a982d4998375f2,data/boltzgen_data/sabdab2_vhh_scaffolds_v1/criteria/scaffold_screening_v1.json,46a6aace3d872f0b03df4a6e0a50c774d9bddc03e3e521a432a982d4998375f2,copied_preserving_bytes
boltzgen/resources/data/SAbDab2_VHH骨架登记表_20260819/旧12骨架登记表_20260819.tsv,boltzgen,curated_data,dated_artifact,5398,5de25678bccc3596a3ecd9cb4187faaec432c48a4ebb9fafca13b8a9ebcfae8e,data/boltzgen_data/sabdab2_vhh_scaffolds_v1/registry/selected_scaffolds.tsv,5de25678bccc3596a3ecd9cb4187faaec432c48a4ebb9fafca13b8a9ebcfae8e,copied_preserving_bytes
boltzgen/resources/data/SAbDab2_VHH骨架登记表_20260819/骨架排除原因摘要_20260819.tsv,boltzgen,curated_data,dated_artifact,466,50975c7e8b44e68fab3daa565d4f7474b0ee1b9ca26691cbd806d73840feb465,data/boltzgen_data/sabdab2_vhh_scaffolds_v1/qc/exclusion_reason_summary.tsv,50975c7e8b44e68fab3daa565d4f7474b0ee1b9ca26691cbd806d73840feb465,copied_preserving_bytes
boltzgen/resources/data/SAbDab2_VHH骨架登记表_20260819/骨架数据库摘要_20260819.json,boltzgen,curated_data,dated_artifact,4745,5da663a88ed7e8e3e2a04cb4f2e4c3eeaffdde4b1e7eedd45952a2ed884b5218,data/boltzgen_data/sabdab2_vhh_scaffolds_v1/registry/database_summary.json,5da663a88ed7e8e3e2a04cb4f2e4c3eeaffdde4b1e7eedd45952a2ed884b5218,copied_preserving_bytes
