arm	candidate_id	sample_index	framework_aligned_cdr_rmsd_angstrom	target_aligned_cdr_rmsd_angstrom	framework_gate_pass	design_to_target_iptm	design_ptm	iptm	ptm	design_npz_sha256	fold_npz_sha256
internal	design_9	2	1.944569781	38.102842326	true	0.166926593	0.735597730	0.166926593	0.621449411	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	fb6da118f28b5af11eb1b6bf298d14589580216102be4745550a05524c7cfdb5
internal	design_9	3	1.994064166	60.653676644	true	0.080008060	0.687262475	0.084120423	0.566181779	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	fb6da118f28b5af11eb1b6bf298d14589580216102be4745550a05524c7cfdb5
internal	design_9	4	3.505341863	46.179346959	true	0.238303527	0.736958742	0.238303527	0.636345327	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	fb6da118f28b5af11eb1b6bf298d14589580216102be4745550a05524c7cfdb5
high_contact	design_0	0	4.225888529	38.788396047	false	0.226554543	0.672959983	0.220574707	0.579532743	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	970183c82bcbbed761dab2ab1463b9c505966ef50e5457f6f298a0d654adabb3
high_contact	design_0	1	4.209124710	42.813411141	false	0.211786076	0.665712118	0.230760276	0.576971233	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	970183c82bcbbed761dab2ab1463b9c505966ef50e5457f6f298a0d654adabb3
high_contact	design_0	2	3.552943590	39.456191703	true	0.186288714	0.663745165	0.188954070	0.567567110	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	970183c82bcbbed761dab2ab1463b9c505966ef50e5457f6f298a0d654adabb3
high_contact	design_0	3	4.229746519	37.195611259	false	0.249321058	0.671355903	0.237185240	0.581751406	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	970183c82bcbbed761dab2ab1463b9c505966ef50e5457f6f298a0d654adabb3
high_contact	design_0	4	3.683557937	32.907776799	true	0.331163734	0.707644165	0.325733334	0.626890302	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	970183c82bcbbed761dab2ab1463b9c505966ef50e5457f6f298a0d654adabb3
high_contact	design_1	0	5.840267462	45.552832404	false	0.365866005	0.659185827	0.302781850	0.581891060	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	213118078bfad2b3c6bf859eb271adaeefdf48976642beea10a68d82d886c201
high_contact	design_1	1	6.243599054	44.197419291	false	0.372547656	0.677296579	0.309469372	0.597840071	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	213118078bfad2b3c6bf859eb271adaeefdf48976642beea10a68d82d886c201
high_contact	design_1	2	6.152358657	36.148686229	false	0.336739570	0.693933606	0.336131573	0.613116980	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	213118078bfad2b3c6bf859eb271adaeefdf48976642beea10a68d82d886c201
high_contact	design_1	3	5.976130526	36.471963475	false	0.326364189	0.697612762	0.327002943	0.621154249	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	213118078bfad2b3c6bf859eb271adaeefdf48976642beea10a68d82d886c201
high_contact	design_1	4	5.819521755	44.836872965	false	0.364211768	0.655719221	0.311913252	0.579331696	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	213118078bfad2b3c6bf859eb271adaeefdf48976642beea10a68d82d886c201
high_contact	design_2	0	1.125694998	61.284088986	true	0.107457303	0.729340553	0.114082783	0.603930235	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	76549650bf74f9b232e2763f12906cde3a8f97d5e8d9eb17902454be9f123b4c
high_contact	design_2	1	1.027082955	57.366026597	true	0.110295802	0.734884441	0.126973137	0.609892428	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	76549650bf74f9b232e2763f12906cde3a8f97d5e8d9eb17902454be9f123b4c
high_contact	design_2	2	3.007457601	48.675613653	true	0.124400117	0.728674829	0.124400117	0.607586205	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	76549650bf74f9b232e2763f12906cde3a8f97d5e8d9eb17902454be9f123b4c
high_contact	design_2	3	1.390842345	39.194584020	true	0.182696640	0.766510606	0.208067447	0.654919207	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	76549650bf74f9b232e2763f12906cde3a8f97d5e8d9eb17902454be9f123b4c
high_contact	design_2	4	1.331072760	64.294107753	true	0.096243434	0.730092168	0.104713298	0.602836430	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	76549650bf74f9b232e2763f12906cde3a8f97d5e8d9eb17902454be9f123b4c
high_contact	design_3	0	1.135143719	63.059083189	true	0.126932606	0.707888603	0.150497228	0.591343284	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	3575e0652039a56d25a371d57facc5558eb1742ab7a079c7a93993a560d25f25
high_contact	design_3	1	1.294913674	53.209583964	true	0.135018528	0.718107045	0.173454687	0.603736460	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	3575e0652039a56d25a371d57facc5558eb1742ab7a079c7a93993a560d25f25
high_contact	design_3	2	1.356809418	41.787376239	true	0.151582032	0.731201649	0.191275448	0.620381296	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	3575e0652039a56d25a371d57facc5558eb1742ab7a079c7a93993a560d25f25
high_contact	design_3	3	1.610625354	53.531486736	true	0.131671116	0.721496761	0.158537731	0.607864916	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	3575e0652039a56d25a371d57facc5558eb1742ab7a079c7a93993a560d25f25
high_contact	design_3	4	1.432148123	22.051766107	true	0.185461238	0.739168465	0.216914147	0.634713650	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	3575e0652039a56d25a371d57facc5558eb1742ab7a079c7a93993a560d25f25
high_contact	design_4	0	1.712155422	39.832530089	true	0.222288474	0.743243158	0.222288474	0.637392104	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	371fa40e9fc349e4e6dbea93f9b12e5efc19219834d9f058476a9e167a949485
high_contact	design_4	1	1.733296132	50.374180056	true	0.120708205	0.721323371	0.137452438	0.603447556	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	371fa40e9fc349e4e6dbea93f9b12e5efc19219834d9f058476a9e167a949485
high_contact	design_4	2	2.020327529	30.910699883	true	0.191060007	0.746006191	0.217647538	0.638792038	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	371fa40e9fc349e4e6dbea93f9b12e5efc19219834d9f058476a9e167a949485
high_contact	design_4	3	1.813859667	38.358641895	true	0.199809164	0.739376724	0.199809164	0.630139232	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	371fa40e9fc349e4e6dbea93f9b12e5efc19219834d9f058476a9e167a949485
high_contact	design_4	4	1.736692497	35.017988216	true	0.235059261	0.745446920	0.235059261	0.640468121	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	371fa40e9fc349e4e6dbea93f9b12e5efc19219834d9f058476a9e167a949485
high_contact	design_5	0	1.116569466	47.769933821	true	0.115627408	0.749323130	0.129371390	0.623978794	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	b74ce4f79233c289722f91338546ea020dc56b5dfd85fbfc4e62613305c1efa5
high_contact	design_5	1	1.560177995	50.460984401	true	0.103996873	0.739100397	0.103996873	0.611489773	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	b74ce4f79233c289722f91338546ea020dc56b5dfd85fbfc4e62613305c1efa5
high_contact	design_5	2	1.585076966	61.095500792	true	0.096318513	0.723625243	0.097898670	0.598346055	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	b74ce4f79233c289722f91338546ea020dc56b5dfd85fbfc4e62613305c1efa5
high_contact	design_5	3	1.461621631	40.765766265	true	0.161805764	0.752844512	0.191334978	0.637357414	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	b74ce4f79233c289722f91338546ea020dc56b5dfd85fbfc4e62613305c1efa5
high_contact	design_5	4	1.443142172	50.357553548	true	0.125892505	0.729840934	0.158861712	0.613128006	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	b74ce4f79233c289722f91338546ea020dc56b5dfd85fbfc4e62613305c1efa5
high_contact	design_6	0	3.271145372	44.867172005	true	0.295768768	0.689960182	0.288236827	0.605163753	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	33eef79a6a409c3e1c1b949c390209456cec63063c961819cd6deaa1875d3551
high_contact	design_6	1	3.079390334	43.327473904	true	0.260665178	0.695955098	0.271234363	0.607785523	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	33eef79a6a409c3e1c1b949c390209456cec63063c961819cd6deaa1875d3551
high_contact	design_6	2	2.918083302	45.714330367	true	0.311744601	0.683494091	0.263629347	0.596121073	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	33eef79a6a409c3e1c1b949c390209456cec63063c961819cd6deaa1875d3551
high_contact	design_6	3	3.373209564	42.264900790	true	0.381056815	0.699041128	0.375580102	0.627873361	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	33eef79a6a409c3e1c1b949c390209456cec63063c961819cd6deaa1875d3551
high_contact	design_6	4	2.878712331	45.614988775	true	0.312503576	0.676711202	0.254582584	0.587934315	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	33eef79a6a409c3e1c1b949c390209456cec63063c961819cd6deaa1875d3551
high_contact	design_7	0	5.964547659	43.122549737	false	0.303445220	0.634762704	0.256885409	0.559102714	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	aac2d0d9bda8a4952b35638e0aa5e131ee67dbebf2066770e57479f5dcd40bcc
high_contact	design_7	1	4.930133802	41.675981666	false	0.308895767	0.629788578	0.263875753	0.553909957	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	aac2d0d9bda8a4952b35638e0aa5e131ee67dbebf2066770e57479f5dcd40bcc
high_contact	design_7	2	5.670202534	43.387327113	false	0.310237914	0.627647877	0.263059497	0.553608894	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	aac2d0d9bda8a4952b35638e0aa5e131ee67dbebf2066770e57479f5dcd40bcc
high_contact	design_7	3	5.172655823	42.398237178	false	0.322129935	0.626606345	0.269017398	0.552858710	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	aac2d0d9bda8a4952b35638e0aa5e131ee67dbebf2066770e57479f5dcd40bcc
high_contact	design_7	4	4.984841045	41.729500809	false	0.293732792	0.635268390	0.253394276	0.554722190	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	aac2d0d9bda8a4952b35638e0aa5e131ee67dbebf2066770e57479f5dcd40bcc
high_contact	design_8	0	4.141912762	47.153363607	false	0.287763327	0.671002924	0.254905045	0.582973003	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	e516226ca9b4a685ddc0ca308bc9192fbf462de9ba79549924a68dc10b10f06c
high_contact	design_8	1	3.842142618	48.026377947	true	0.266147852	0.665577233	0.243276626	0.576039970	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	e516226ca9b4a685ddc0ca308bc9192fbf462de9ba79549924a68dc10b10f06c
high_contact	design_8	2	4.482768523	40.142632851	false	0.276608318	0.682963312	0.306279719	0.604587436	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	e516226ca9b4a685ddc0ca308bc9192fbf462de9ba79549924a68dc10b10f06c
high_contact	design_8	3	4.113142195	45.978716008	false	0.281447142	0.670142412	0.255046695	0.582739353	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	e516226ca9b4a685ddc0ca308bc9192fbf462de9ba79549924a68dc10b10f06c
high_contact	design_8	4	3.872105756	38.998679781	true	0.428706616	0.712580740	0.403553337	0.642139077	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	e516226ca9b4a685ddc0ca308bc9192fbf462de9ba79549924a68dc10b10f06c
high_contact	design_9	0	1.070990731	32.435031039	true	0.167499185	0.742220640	0.199387893	0.632479668	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	9aae7801f0040047f136d5a791e1769e0343dbb27626a9c56c03cadb8109ad3c
high_contact	design_9	1	1.001253143	49.902249535	true	0.100324400	0.716702759	0.100324400	0.593065381	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	9aae7801f0040047f136d5a791e1769e0343dbb27626a9c56c03cadb8109ad3c
high_contact	design_9	2	1.390299005	30.206534773	true	0.152954876	0.761962891	0.168409884	0.643882453	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	9aae7801f0040047f136d5a791e1769e0343dbb27626a9c56c03cadb8109ad3c
high_contact	design_9	3	1.186136098	37.362720223	true	0.220744476	0.760335088	0.229301080	0.651035368	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	9aae7801f0040047f136d5a791e1769e0343dbb27626a9c56c03cadb8109ad3c
high_contact	design_9	4	1.319340378	35.402907420	true	0.168356135	0.750986397	0.198221177	0.638460696	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	9aae7801f0040047f136d5a791e1769e0343dbb27626a9c56c03cadb8109ad3c
diverse	design_0	0	1.311759649	55.906984840	true	0.124453194	0.717748165	0.129480124	0.599445105	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	750e694134bbb71b73fc4896dfdc3fd79008d25ffa220660bbb425c218e7dec3
diverse	design_0	1	4.969349182	31.314745244	false	0.340410680	0.764752984	0.340410680	0.673335552	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	750e694134bbb71b73fc4896dfdc3fd79008d25ffa220660bbb425c218e7dec3
diverse	design_0	2	1.154595361	44.422231986	true	0.140204728	0.720331550	0.179508820	0.607827306	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	750e694134bbb71b73fc4896dfdc3fd79008d25ffa220660bbb425c218e7dec3
diverse	design_0	3	1.153766038	50.232133082	true	0.125907138	0.742283821	0.149338245	0.622611284	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	750e694134bbb71b73fc4896dfdc3fd79008d25ffa220660bbb425c218e7dec3
diverse	design_0	4	1.139786117	60.569805259	true	0.118565537	0.704522729	0.135147706	0.588794291	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	750e694134bbb71b73fc4896dfdc3fd79008d25ffa220660bbb425c218e7dec3
diverse	design_1	0	0.933987802	44.345067485	true	0.137610286	0.718768299	0.169117868	0.606160760	b986e134b1e08e932baf88a33cf196657bc7b121135b5bb516207c27922fe977	e69519d43df7812097666ed849102d01d17498831c968e102859f6caf3b88ebb
